source_path,format_class,bytes,reason
2026/REFERENCE — STRING THEORY/c9cb6d23481b7450aaa996bbf2ebc16d_lecture23.pdf,pdf,115003,no extraction mapping located
2026/REFERENCE — STRING THEORY/deb6ad4ba42bb173e8e403f4b8acb73f_lecture18.pdf,pdf,210777,no extraction mapping located
2026/REFERENCE — STRING THEORY/e5b834fb595f307dd99fcf6913971a4c_lecture03.pdf,pdf,164593,no extraction mapping located
2026/REFERENCE — STRING THEORY/e9cb1e45a51bfc887b72accb2486d034_lecture08.pdf,pdf,238548,no extraction mapping located
2026/REFERENCE — STRING THEORY/ea42d2182b4a78c0501b2577a5478572_lecture22.pdf,pdf,188361,no extraction mapping located
2026/REFERENCE — STRING THEORY/f704cfed444c1740427310905d04042d_lecture17.pdf,pdf,248245,no extraction mapping located
2026/SAT  DRAFT PAPER/x PHYS_REV_D_V_1_Submission.pdf,pdf,105780,no extraction mapping located
2026/SAT AUDIT — Q COUNTING CONCERNS.pdf,pdf,80845,no extraction mapping located
2026/SAT CORE — Standard Helium Atom.pdf,pdf,144564,no extraction mapping located
2026/SAT CORE — UI_Procedure_SAT_4DHH_UC.pdf,pdf,128022,no extraction mapping located
2026/SAT CORE — WHIRLIGIG SUMMARY-1.pdf,pdf,3256732,no extraction mapping located
2026/SAT FINAL_FINALL-nolattice 2.pdf,pdf,495821,no extraction mapping located
2026/SAT FULL_THEORY-lattice version.pdf,pdf,292502,no extraction mapping located
2026/SAT FULL_THEORY.pdf,pdf,317822,no extraction mapping located
2026/SAT FULL_THEORY_Line.pdf,pdf,222762,no extraction mapping located
2026/SAT MATH — Other.pdf,pdf,198260,no extraction mapping located
2026/SAT MATH — oSAT_2026.pdf,pdf,212031,no extraction mapping located
2026/SAT SUMMARY — Scalar-Angular Torsion.pdf,pdf,495821,no extraction mapping located
2026/SAT THEORY — FROM SCRATCH.pdf,pdf,443604,no extraction mapping located
2026/SAT THEORY — REFINEMENT SUMMARY.pdf,pdf,488381,no extraction mapping located
2026/SAT THEORY — Strong Force.pdf,pdf,109729,no extraction mapping located
2026/SAT THEORY — UBWA_SAT_4DHH_UC.pdf,pdf,130807,no extraction mapping located
2026/SAT THEORY — UI_SAT_4DHH_UC.pdf,pdf,128022,no extraction mapping located
2026/SAT THOUGTS — Conjecture + Anomalies.pdf,pdf,310260,no extraction mapping located
2026/SAT VERSIONS — 25 SAT VERSIONS.pdf,pdf,1203889,no extraction mapping located
A_Theory_of_Everything/APS_Journals_Style_Guide_Authors_Nov2024_ua91lv.pdf,pdf,964140,no extraction mapping located
A_Theory_of_Everything/FINAL SUBMISSION/BELLOMY_N_Phys_Rev_D_Submission.pdf,pdf,231211,no extraction mapping located
A_Theory_of_Everything/FINAL SUBMISSION/BELLOMY_N_Phys_Rev_D_Supplement.pdf,pdf,308901,no extraction mapping located
A_Theory_of_Everything/LATEX_amsldoc.pdf,pdf,496963,no extraction mapping located
A_Theory_of_Everything/LATEX_usrguide.pdf,pdf,514397,no extraction mapping located
A_Theory_of_Everything/LaTeX_encguide.pdf,pdf,1309627,no extraction mapping located
A_Theory_of_Everything/LaTeX_fntguide.pdf,pdf,514821,no extraction mapping located
A_Theory_of_Everything/LaTeX_interface3.pdf,pdf,1743155,no extraction mapping located
A_Theory_of_Everything/LaTeX_ltcmdhooks-doc.pdf,pdf,504480,no extraction mapping located
A_Theory_of_Everything/LaTeX_lthooks-doc.pdf,pdf,755599,no extraction mapping located
A_Theory_of_Everything/LaTeX_ltmarks-doc.pdf,pdf,609295,no extraction mapping located
A_Theory_of_Everything/LaTeX_ltpara-doc.pdf,pdf,559594,no extraction mapping located
A_Theory_of_Everything/LaTeX_ltshipout-doc.pdf,pdf,566403,no extraction mapping located
A_Theory_of_Everything/REVTeX_apsguide4-2.pdf,pdf,232285,no extraction mapping located
A_Theory_of_Everything/REVTeX_auguide4-2.pdf,pdf,452319,no extraction mapping located
A_Theory_of_Everything/REVTeX_ltxdocext.pdf,pdf,324579,no extraction mapping located
A_Theory_of_Everything/REVTeX_ltxfront.pdf,pdf,546693,no extraction mapping located
A_Theory_of_Everything/REVTeX_ltxgrid.pdf,pdf,801858,no extraction mapping located
A_Theory_of_Everything/REVTeX_ltxutil.pdf,pdf,623128,no extraction mapping located
A_Theory_of_Everything/REVTeX_revtex4-2.pdf,pdf,839993,no extraction mapping located
A_Theory_of_Everything/REVTeX_summary4-2.pdf,pdf,230858,no extraction mapping located
CODE OUTPUT/Early_code_output.png,image,152483,no extraction mapping located
CODE OUTPUT/Early_code_output2.png,image,117318,no extraction mapping located
CODE OUTPUT/Early_code_output3.png,image,157985,no extraction mapping located
CODE OUTPUT/Early_code_output4.png,image,120644,no extraction mapping located
CODE OUTPUT/Early_code_output5.png,image,35746,no extraction mapping located
CODE OUTPUT/Early_code_output6.png,image,46677,no extraction mapping located
CONSENSUS PRO/ConsensusPro.png,image,182992,no extraction mapping located
CONSENSUS PRO/ConsensusPro2.png,image,32832,no extraction mapping located
CONSENSUS PRO/ConsensusPro3.png,image,212722,no extraction mapping located
CONSENSUS PRO/ConsensusPro4.png,image,235333,no extraction mapping located
CRAZYTALK/SAT WEIRD IDEAS — ConneXome.pdf,pdf,124358,no extraction mapping located
CRAZYTALK/SAT WEIRD IDEAS — Scalar-Angular Torsion.pdf,pdf,495821,no extraction mapping located
CRAZYTALK/SAT WEIRD IDEAS — Silence.pdf,pdf,336149,no extraction mapping located
CRAZYTALK/SAT WEIRD IDEAS — Solid.pdf,pdf,275890,no extraction mapping located
CRAZYTALK/SAT WEIRD IDEAS — Those are very interesting. But my interests in electromagnetism reflect….pdf,pdf,192987,no extraction mapping located
CRAZYTALK/SAT WEIRD IDEAS — What can you tell me that I don’t already know.pdf,pdf,147977,no extraction mapping located
"CRAZYTALK/SAT WIERD IDEAS — you just walked in, looked around, saw the little rusty button—miss….pdf",pdf,13519,no extraction mapping located
"ChatGPT Image Aug 21, 2026, 05_05_25 AM (1).png",image,1622018,no extraction mapping located
"ChatGPT Image Aug 21, 2026, 05_05_25 AM (2).png",image,1901071,no extraction mapping located
"ChatGPT Image Oct 29, 2025, 02_40_27 PM.png",image,1043728,no extraction mapping located
DEBATING A.I. ANALYTICS/2Analytics - Debating A.I. On the Future of Physics _ Spotify for Creators.pdf,pdf,147798,no extraction mapping located
DEBATING A.I. ANALYTICS/3Analytics - Debating A.I. On the Future of Physics _ Spotify for Creators.pdf,pdf,147374,no extraction mapping located
DEBATING A.I. ANALYTICS/4Analytics - Debating A.I. On the Future of Physics _ Spotify for Creators.pdf,pdf,147092,no extraction mapping located
DEBATING A.I. ANALYTICS/5Analytics - Debating A.I. On the Future of Physics _ Spotify for Creators.pdf,pdf,148149,no extraction mapping located
DEBATING A.I. ANALYTICS/6Analytics - Debating A.I. On the Future of Physics _ Spotify for Creators.pdf,pdf,145202,no extraction mapping located
DEBATING A.I. ANALYTICS/7Analytics - Debating A.I. On the Future of Physics _ Spotify for Creators.pdf,pdf,141392,no extraction mapping located
DEBATING A.I. ANALYTICS/Analytics - Debating A.I. On the Future of Physics _ Spotify for Creators.pdf,pdf,177487,no extraction mapping located
DEV CONVERSATION/ITS_A_GO.png,image,2725053,no extraction mapping located
DRAFT PAPERS/SAT 22Jun25.pdf,pdf,5381173,no extraction mapping located
DRAFT PAPERS/SAT_REWRITE.pdf,pdf,5329850,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — BOSONIC_TIME.pdf,pdf,175326,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — CSATOBLOC_pre_lean.pdf,pdf,135402,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — FINAL_FINALL-nolattice 2.pdf,pdf,495821,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — FULL_THEORY-lattice version.pdf,pdf,292502,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — FULL_THEORY.pdf,pdf,317822,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — FULL_THEORY_Line.pdf,pdf,222762,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — L PHYS_REV_D_V_1_Submission.pdf,pdf,92148,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — NOETHER NSATOBLOC_pre_lean.pdf,pdf,121577,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — SATOBLOC_pre_lean.pdf,pdf,143608,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — Submission_for_Physics_Review_D.pdf,pdf,252942,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — UBWA_SAT_4DHH_UC.pdf,pdf,130807,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — cSAT_2026.pdf,pdf,198260,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — oSAT_2026.pdf,pdf,212031,no extraction mapping located
EARLY 2026/SAT EARLY 2026 — sSubmission_for_Physics_Review_D.pdf,pdf,308655,no extraction mapping located
EARLY 2026/SAT EARLY2026 — s2Submission_for_Physics_Review_D.pdf,pdf,158077,no extraction mapping located
EARLY 2026/SAT EARLY2026 — s3Submission_for_Physics_Review_D.pdf,pdf,301766,no extraction mapping located
EARLY LOGGED/000000001_2.pdf,pdf,5381173,no extraction mapping located
EARLY LOGGED/2025-10-24_0102_sat_optical_birefringence.png,image,70565,no extraction mapping located
EARLY LOGGED/2025-10-24_0105_optics_sat_prediction.png,image,55907,no extraction mapping located
EARLY LOGGED/2025-10-24_0143_Download TV with Transparent Screen (PNG).png,image,897656,no extraction mapping located
EARLY LOGGED/2025-10-24_0231_operator_playbooks_chart.png,image,109726,no extraction mapping located
EARLY LOGGED/2025-10-24_0427_Matplotlib Chart.png,image,167123,no extraction mapping located
EARLY LOGGED/2025-10-24_0439_Annotated_Constraint_Network.png,image,521841,no extraction mapping located
EARLY LOGGED/2025-10-24_0440_Annotated_Constraint_Network 2.png,image,521841,no extraction mapping located
EARLY LOGGED/2025-10-24_0457_T = 8.5.png,image,1104888,no extraction mapping located
EARLY LOGGED/2025-10-24_0554_Download Reversed Overlay Composite PNG 2.png,image,959986,no extraction mapping located
EARLY LOGGED/2025-10-24_0753_overlapping_parameters.png,image,176935,no extraction mapping located
EARLY LOGGED/2025-10-24_0757_overlapping_parameters_linear.png,image,179630,no extraction mapping located
EARLY LOGGED/2025-10-24_1539_SATNathan McKnightJune 20251PART I — INTRODUCTION21 Scalar–Angular Theory (SAT) Lay OverviewFor Readers.pdf,pdf,5305098,no extraction mapping located
EARLY LOGGED/2025-10-24_1900_360 3.webp,image,4478,no extraction mapping located
EARLY LOGGED/2025-10-24_1900_360 5.webp,image,4478,no extraction mapping located
EARLY LOGGED/2025-10-24_1900_360.webp,image,4478,no extraction mapping located
EARLY LOGGED/2025-10-24_1947_sat_june_2025.png,image,9596918,no extraction mapping located
EARLY LOGGED/2025-10-24_2036_NotebookLM Mind Map.png,image,1078032,no extraction mapping located
"EARLY LOGGED/2025-10-24_2103_May 23, 2025 at 09_03_24 PM.png",image,1596077,no extraction mapping located
EARLY LOGGED/2025-10-24_2318_Click to open the image.png,image,1051599,no extraction mapping located
EARLY LOGGED/SATO-4D.pdf,pdf,1985630,no extraction mapping located
EARLY LOGGED/SATW_PhaseDiagram_Theta_vs_Mass.png,image,192630,no extraction mapping located
EARLY LOGGED/optics_standard_model.png,image,35353,no extraction mapping located
ENGINE_OUTPUTS/OBSERVATORY_RUN_20260709_022243/000000001_capture.png,image,425274,no extraction mapping located
ENGINE_OUTPUTS/STABLE_RUN_20260709_030652/000000029_snap.png,image,227153,no extraction mapping located
Early Misc/BrainTrust_v2_Example1.png,image,74515,no extraction mapping located
Early Misc/BrainTrust_v2_Example2.png,image,74010,no extraction mapping located
Early Misc/BrainTrust_v2_Initiation.png,image,147291,no extraction mapping located
Early SAT/j_phys-2020-0111_fig_010-979198401.jpg,image,146829,no extraction mapping located
FINAL_CLOSURE.pdf,pdf,0,no extraction mapping located
FORMALIZATION DEVELOPMENTS/ITS_A_GO.png,image,2725053,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/08304ec9-3547-4347-b992-6a5a01a1a689.png,image,2102264,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/2000px-Earthquake_wave_shadow_zone.svg-3735637010.png,image,577128,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/31a96306-74aa-4890-9278-8349561c03bb.png,image,1598838,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/34ed7541-45a4-45db-925b-2270417b7779.png,image,2149287,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/CELLCapture.PNG,image,1172307,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/CHCapture.PNG,image,771935,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/CHROMOCapture.PNG,image,553396,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/Capture.PNG,image,1191178,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/Capture6.PNG,image,103428,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/Capture7.PNG,image,181522,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/Capture8.PNG,image,178040,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/IMG_4492.jpeg,image,812431,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/IMG_4497.jpeg,image,228443,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/IMG_4499.jpeg,image,648026,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/IMG_4525.jpeg,image,739279,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/IMG_4531.jpeg,image,580123,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/SDFCapture.PNG,image,1198789,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/WildeZotti.png,image,2339107,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/Zottenwelt.png,image,1473926,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/chhCapture.PNG,image,1235037,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/dfdfeCapture.PNG,image,1239694,no extraction mapping located
FUN STUFF/GREAT MOMENTS IN PERSONAL SICENCE HISTORY/4D ORGANISM WEIRD SHIT/internal.PNG,image,676322,no extraction mapping located
